Age,Year,Population,Life_Expectancy,Retirement_age,Contribution_rate,1999_dummy,Reference_amount_1984,Birth_Year,Revaleurisation_rate,Adjustment_factor_1984,Salary,Income_per_year
15,2097,8773.0,68.8,61.4,0.24,1,2085,2082,1.595,2.270948493188704,4414.074253967083,7040.4484350774965
15,2098,8777.0,68.8,61.4,0.24,1,2085,2083,1.595,2.270948493188704,4414.074253967083,7040.4484350774965
15,2099,8783.0,68.8,61.4,0.24,1,2085,2084,1.595,2.270948493188704,4414.074253967083,7040.4484350774965
15,2100,8789.0,68.8,61.4,0.24,1,2085,2085,1.595,2.270948493188704,4414.074253967083,7040.4484350774965
16,1960,3934.0,55.8,62.1,0.24,0,2085,1944,0.488,0.3469250873094803,2622.6007927690357,1279.8291868712895
16,1961,3957.0,55.8,62.1,0.24,0,2085,1945,0.51,0.3469250873094803,2509.4689938652737,1279.8291868712895
16,1965,4413.6,55.8,62.1,0.24,0,2085,1949,0.581,0.3469250873094803,2202.804108212202,1279.8291868712895
16,1967,4477.4,55.8,62.1,0.24,0,2085,1951,0.613,0.3469250873094803,2087.8127028895424,1279.8291868712895
16,1970,4861.0,55.8,62.1,0.24,0,2085,1954,0.719,0.38485556352198347,1780.0127772896933,1279.8291868712895
16,1971,4911.4,55.8,62.1,0.24,0,2085,1955,0.746,0.4002590373985244,1715.5887223475731,1279.8291868712895
16,1972,5151.2,56.2,62.1,0.24,0,2085,1956,0.775,0.4216758794550963,1651.3924991887607,1279.8291868712895
16,1973,5264.0,56.4,62.1,0.24,0,2085,1957,0.806,0.44577560885352824,1587.877403066116,1279.8291868712895
16,1974,5342.0,56.3,62.1,0.24,0,2085,1958,0.901,0.475958091449453,1420.4541474709094,1279.8291868712895
16,1975,5421.4,56.2,62.1,0.24,0,2085,1959,0.901,0.5281356245807989,1420.4541474709094,1279.8291868712895
16,1976,5471.2,56.4,62.1,0.24,0,2085,1960,0.909,0.5905127552790433,1407.9529008485033,1279.8291868712895
16,1977,5488.4,57.4,62.1,0.24,0,2085,1961,0.926,0.6371394870134376,1382.1049534247186,1279.8291868712895
16,1978,5491.6,57.3,62.1,0.24,0,2085,1962,0.943,0.6611235747160997,1357.188957445694,1279.8291868712895
16,1979,5456.8,58.1,62.1,0.24,0,2085,1963,0.962,0.6857089992367649,1330.3837701364755,1279.8291868712895
16,1980,5558.4,58.1,62.1,0.24,0,2085,1964,0.971,0.7247033790503503,1318.052715624397,1279.8291868712895
16,1981,5609.0,58.0,62.1,0.24,0,2085,1965,0.98,0.7772972222864676,1305.9481498686628,1279.8291868712895
16,1982,5584.4,58.0,62.1,0.24,0,2085,1966,1.0,0.8448551009552004,1279.8291868712895,1279.8291868712895
16,1983,5536.6,58.6,62.1,0.24,0,2085,1967,0.99,0.9310312926428753,1292.756754415444,1279.8291868712895
16,1984,5416.4,58.6,62.1,0.24,0,2085,1968,1.0,1.0,1279.8291868712895,1279.8291868712895
16,1985,5272.0,58.9,62.1,0.24,0,2085,1969,1.01,1.020052270046488,1267.1576107636529,1279.8291868712895
16,1986,5122.6,59.5,62.1,0.24,0,2085,1970,1.033,1.0571269977102944,1238.9440337572987,1279.8291868712895
